SN           H        Herr    K        Kerr     Spit   M1m    M1     M1p    M2m    M2     M2p
SN2004dt     10.430   0.035   10.154   0.050    -1.000 -1.00  -1.00  -1.00  10.73  10.84  10.93
SN2004ef     11.253   0.061   10.877   0.092    -1.000 -1.00  -1.00  -1.00  -1.00  -1.00  -1.00
SN2004eo      9.071   0.025    8.739   0.026    -1.000 11.05  11.17  11.40  -1.00  -1.00  -1.00
SN2004ey     11.537   0.076   11.451   0.117    -1.000 -1.00  -1.00  -1.00  10.19  10.30  10.44
SN2004gc     12.041   0.066   11.897   0.069    -1.000 -1.00  -1.00  -1.00  -1.00  -1.00  -1.00
SN2004gs     11.382   0.035   11.039   0.049    -1.000 -1.00  -1.00  -1.00  10.84  10.93  11.00
SN2004gu     13.395   0.114   13.013   0.164    -1.000 -1.00  -1.00  -1.00  10.35  10.43  10.50
SN2005A       9.105   0.015    8.800   0.020    -1.000 -1.00  -1.00  -1.00  -1.00  -1.00  -1.00
SN2005M      12.439   0.085   11.985   0.085    -1.000 -1.00  -1.00  -1.00   8.40   8.40   8.40
SN2005W       8.993   0.022    8.822   0.038    10.754 -1.00  -1.00  -1.00  -1.00  -1.00  -1.00
SN2005ag     12.013   0.048   11.761   0.060    -1.000 -1.00  -1.00  -1.00  10.70  10.77  10.82
SN2005al      9.743   0.026    9.511   0.029    10.876 -1.00  -1.00  -1.00  -1.00  -1.00  -1.00
SN2005am      8.321   0.010    7.976   0.015    -1.000 11.28  11.51  11.71  -1.00  -1.00  -1.00
SN2005be     12.013   0.048   11.761   0.060    -1.000 -1.00  -1.00  -1.00  10.71  10.79  10.84
SN2005bg     12.331   0.058   12.037   0.075    -1.000 -1.00  -1.00  -1.00  10.03  10.12  10.21
SN2005bl     10.011   0.021    9.747   0.028    -1.000 -1.00  -1.00  -1.00  11.15  11.25  11.32
SN2005bo     10.521   0.035   10.140   0.050    -1.000 -1.00  -1.00  -1.00  -1.00  -1.00  -1.00
SN2005el      9.543   0.030    9.227   0.031    -1.000 -1.00  -1.00  -1.00  -1.00  -1.00  -1.00
SN2005eq     11.100   0.040   10.803   0.062    -1.000 10.51  10.58  10.77  10.87  10.98  11.08
SN2005hc     12.385   0.081   11.989   0.113    -1.000 10.45  10.54  10.77  10.73  10.81  10.88
SN2005hj     -1.000   0.000   -1.000   0.000    -1.000 -1.00  -1.00  -1.00   9.57   9.66   9.76
SN2005iq     11.773   0.042   11.749   0.063    -1.000 10.17  10.34  10.95  -1.00  -1.00  -1.00
SN2005ir     -1.000   0.000   -1.000   0.000    -1.000 10.06  10.15  10.20  10.13  10.23  10.33
SN2005kc      9.198   0.012    8.937   0.015    -1.000 10.84  10.97  11.09  -1.00  -1.00  -1.00
SN2005ke      7.914   0.029    7.630   0.039    -1.000 10.79  10.90  11.02  -1.00  -1.00  -1.00
SN2005ki      9.722   0.028    9.374   0.039    -1.000 11.11  11.15  11.51  11.07  11.18  11.24
SN2005ku     13.920   0.140   13.663   0.158    -1.000 -1.00  -1.00  -1.00   9.74   9.83   9.93
SN2005lu     12.442   0.061   12.010   0.071    -1.000 -1.00  -1.00  -1.00  -1.00  -1.00  -1.00
SN2005mc     10.802   0.026   10.659   0.033    -1.000 10.86  10.95  11.06  10.90  10.99  11.07
SN2005na     10.322   0.026   10.082   0.037    -1.000 -1.00  -1.00  -1.00  -1.00  -1.00  -1.00
SN2006D      10.792   0.031   10.496   0.048    -1.000 -1.00  -1.00  -1.00  -1.00  -1.00  -1.00
SN2006X       6.817   0.035    6.589   0.041    -1.000 10.74  10.81  11.09  -1.00  -1.00  -1.00
SN2006ax     10.022   0.037    9.894   0.068    -1.000 10.04  10.81  11.21  -1.00  -1.00  -1.00
SN2006bd     10.615   0.033   10.319   0.048    -1.000 -1.00  -1.00  -1.00  -1.00  -1.00  -1.00
SN2006bh      9.114   0.020    8.873   0.031    -1.000 -1.00  -1.00  -1.00  -1.00  -1.00  -1.00
SN2006br     10.564   0.034   10.236   0.037    -1.000 10.89  10.94  11.06  11.08  11.15  11.23
SN2006dd      5.872   0.018    5.587   0.019    -1.000 -1.00  -1.00  -1.00  -1.00  -1.00  -1.00
SN2006ef     10.716   0.023   10.597   0.035    -1.000 10.66  10.70  10.78  10.65  10.72  10.80
SN2006ej     -1.000   0.000   -1.000   0.000    -1.000 10.76  11.00  11.02  10.71  10.78  10.87
SN2006eq     13.616   0.128   13.349   0.158    -1.000 -1.00  -1.00  -1.00  10.30  10.39  10.46
SN2006et     10.263   0.020    9.874   0.021    -1.000 -1.00  -1.00  -1.00  -1.00  -1.00  -1.00
SN2006ev     10.715   0.031   10.328   0.034    -1.000 -1.00  -1.00  -1.00  -1.00  -1.00  -1.00
SN2006fw     -1.000   0.000   -1.000   0.000    -1.000 -1.00  -1.00  -1.00  -1.00  -1.00  -1.00
SN2006gj     11.384   0.055   11.050   0.056    -1.000 10.66  11.96  12.33  -1.00  -1.00  -1.00
SN2006gt     13.949   0.175   13.502   0.207    -1.000 -1.00  -1.00  -1.00  -1.00  -1.00  -1.00
SN2006hb     10.533   0.032   10.268   0.046    -1.000 10.64  10.95  11.14  -1.00  -1.00  -1.00
SN2006hx     12.987   0.088   12.752   0.098    -1.000 -1.00  -1.00  -1.00  10.37  10.46  10.54
SN2006is     -1.000   0.000   -1.000   0.000    -1.000 -1.00  -1.00  -1.00  -1.00  -1.00  -1.00
SN2006kf     10.343   0.029   10.046   0.025    -1.000 10.73  10.97  11.06  -1.00  -1.00  -1.00
SN2006lu     13.425   0.146   13.166   0.190    -1.000 -1.00  -1.00  -1.00  -1.00  -1.00  -1.00
SN2006mr      5.872   0.018    5.587   0.019    -1.000 -1.00  -1.00  -1.00  -1.00  -1.00  -1.00
SN2006ob     11.543   0.050   11.461   0.059    -1.000 11.20  11.25  11.34  11.37  11.46  11.52
SN2006os     11.084   0.036   10.682   0.041    -1.000 10.66  11.59  12.43  -1.00  -1.00  -1.00
SN2006py     -1.000   0.000   -1.000   0.000    -1.000 -1.00  -1.00  -1.00  10.00  10.09  10.16
SN2007A      10.638   0.034   10.363   0.040    -1.000 -1.00  -1.00  -1.00  -1.00  -1.00  -1.00
SN2007N      10.998   0.052   10.713   0.078    -1.000 -1.00  -1.00  -1.00  -1.00  -1.00  -1.00
SN2007S      11.571   0.050   11.338   0.073    -1.000  9.52   9.88  10.09   9.83   9.93  10.03
SN2007af     10.046   0.023    9.949   0.067    10.248  9.69   9.82   9.87   9.39   9.49   9.59
SN2007ai     10.915   0.037   10.512   0.055    -1.000 -1.00  -1.00  -1.00  -1.00  -1.00  -1.00
SN2007al     12.545   0.065   12.342   0.106    -1.000 -1.00  -1.00  -1.00  -1.00  -1.00  -1.00
SN2007as     11.061   0.035   11.022   0.062    -1.000 -1.00  -1.00  -1.00  -1.00  -1.00  -1.00
SN2007ax      9.329   0.014    9.054   0.017    -1.000 -1.00  -1.00  -1.00  -1.00  -1.00  -1.00
