# Bspline knot points:
[0.230, 0.900, 1.340]
 #clr   a[0]   +/-   a[1]   +/-   a[2]   +/-   a[3]   +/-   a[4]   +/-   sig
 u-B   1.22  0.12   0.76  0.14   0.19  0.13  0.381 0.086   0.06  0.15 0.097
 B-V  0.696 0.043  0.199 0.046 -0.192 0.047 -0.008 0.035  0.056 0.072 0.028
 g-r  0.457 0.057 -0.116 0.057 -0.159 0.057 -0.269 0.043 -0.116 0.088 0.012
 V-r  0.149 0.048 -0.142 0.046 -0.014 0.044 -0.205 0.031 -0.084 0.060 0.018
 V-i  0.075 0.071 -0.570 0.072 -0.499 0.072 -1.021 0.054  -0.39  0.12 0.035
 r-i -0.076 0.064 -0.429 0.064 -0.487 0.062 -0.815 0.045  -0.31  0.10 0.035
 V-Y  0.577 0.096 -0.676 0.096 -0.093 0.094 -1.360 0.069  -0.10  0.16 0.037
 Y-J  -0.01  0.11   0.40  0.12  -0.21  0.11  0.335 0.074  -0.11  0.13 0.075
 J-H   0.07  0.11  -0.36  0.12   0.07  0.11 -0.518 0.072   0.07  0.12 0.071
 V-J   0.56  0.12  -0.28  0.13  -0.30  0.12 -1.025 0.087  -0.21  0.17 0.068
 V-H   0.63  0.11  -0.63  0.11  -0.24  0.10 -1.541 0.078  -0.14  0.18 0.028
tau  = 0.119 +/- 0.015
   SN1981B  0.147 0.023 1.67 0.51 -0.006800
   SN1990N  0.128 0.016 2.27 0.72 -0.002097
  SN1994ae  0.186 0.018 1.68 0.71 -0.004043
  SN1995al  0.183 0.017 1.95 0.72 -0.003334
  SN1998aq  0.024 0.012 2.03 1.28 -0.000630
  SN2001el  0.290 0.016 2.25 0.26 -0.002618
  SN2002fk  0.030 0.011 2.66 1.21 -0.001991
  SN2003du  0.024 0.013 1.07 1.32 -0.006464
  SN2004ef  0.161 0.017 1.85 0.52 -0.004054
  SN2004eo  0.130 0.024 1.12 0.66 -0.009330
  SN2004ey  0.025 0.019 1.40 1.27 -0.008534
  SN2004gc  0.226 0.051 1.88 0.76 -0.007967
