Inference for Stan model: anon_model_8e94f7271286118cdef4b9f5c4ff7bef.
4 chains, each with iter=5000; warmup=1000; thin=1; 
post-warmup draws per chain=4000, total post-warmup draws=16000.

                mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
H0             75.11    0.01   1.47  72.34  74.11  75.07  76.09  78.09  16000    1.0
pec_vel         2.75  4.5e-3   0.57   1.65   2.37   2.75   3.13   3.87  16000    1.0
eps_sn          0.13  1.2e-4   0.02    0.1   0.12   0.13   0.14   0.16  16000    1.0
EBV_Rv[0,0]     0.13  1.9e-4   0.02   0.09   0.12   0.13   0.15   0.18  16000    1.0
EBV_Rv[1,0]     0.16  1.3e-4   0.02   0.13   0.15   0.16   0.17   0.19  16000    1.0
EBV_Rv[2,0]     0.13  2.0e-4   0.02   0.08   0.11   0.13   0.15   0.18  16000    1.0
EBV_Rv[3,0]     0.03  1.3e-4   0.02-4.6e-3   0.02   0.03   0.04   0.06  16000    1.0
EBV_Rv[4,0]     0.21  3.8e-4   0.05   0.12   0.18   0.21   0.25   0.31  16000    1.0
EBV_Rv[5,0]     0.19  1.1e-4   0.01   0.16   0.18   0.19    0.2   0.22  16000    1.0
EBV_Rv[6,0]      0.1  2.3e-4   0.03   0.04   0.08    0.1   0.12   0.16  16000    1.0
EBV_Rv[7,0]     1.17  1.7e-4   0.02   1.12   1.15   1.17   1.18   1.21  16000    1.0
EBV_Rv[8,0]     0.06  1.5e-4   0.02   0.02   0.04   0.06   0.07   0.09  16000    1.0
EBV_Rv[9,0]     0.23  1.4e-4   0.02    0.2   0.22   0.23   0.24   0.27  16000    1.0
EBV_Rv[10,0]    0.03  1.3e-4   0.02-1.7e-3   0.02   0.03   0.04   0.07  16000    1.0
EBV_Rv[11,0]    0.01  7.0e-5 8.8e-3-6.6e-3 4.6e-3   0.01   0.02   0.03  16000    1.0
EBV_Rv[12,0]    0.08  1.3e-4   0.02   0.05   0.07   0.08   0.09   0.11  16000    1.0
EBV_Rv[13,0]    0.03  1.7e-4   0.02  -0.01   0.01   0.03   0.04   0.07  16000    1.0
EBV_Rv[14,0]    0.08  2.1e-4   0.03   0.02   0.06   0.08   0.09   0.13  16000    1.0
EBV_Rv[15,0]    0.33  2.6e-4   0.03   0.26   0.31   0.33   0.35   0.39  16000    1.0
EBV_Rv[16,0]    0.33  1.3e-4   0.02    0.3   0.32   0.33   0.34   0.36  16000    1.0
EBV_Rv[17,0]  7.2e-3  6.3e-5 7.9e-3-8.3e-3 1.8e-3 7.1e-3   0.01   0.02  16000    1.0
EBV_Rv[18,0]    0.11  1.3e-4   0.02   0.08    0.1   0.11   0.12   0.14  16000    1.0
EBV_Rv[19,0]    0.04  1.2e-4   0.02   0.02   0.03   0.04   0.06   0.07  16000    1.0
EBV_Rv[20,0]    0.04  2.3e-4   0.03  -0.02   0.02   0.04   0.06   0.09  16000    1.0
EBV_Rv[21,0]    0.03  8.4e-5   0.01   0.01   0.03   0.03   0.04   0.05  16000    1.0
EBV_Rv[22,0]    0.08  1.3e-4   0.02   0.05   0.07   0.08   0.09   0.11  16000    1.0
EBV_Rv[23,0]    0.31  2.0e-4   0.03   0.27    0.3   0.31   0.33   0.36  16000    1.0
EBV_Rv[24,0]    0.32  1.9e-4   0.02   0.27    0.3   0.32   0.34   0.37  16000    1.0
EBV_Rv[25,0]    0.02  8.6e-5   0.01-4.1e-3 9.6e-3   0.02   0.02   0.04  16000    1.0
EBV_Rv[26,0]    0.16  2.7e-4   0.03    0.1   0.14   0.16   0.18   0.23  16000    1.0
EBV_Rv[27,0]    0.29  2.4e-4   0.03   0.23   0.27   0.29   0.31   0.35  16000    1.0
EBV_Rv[28,0]    0.25  2.7e-4   0.03   0.18   0.23   0.25   0.27   0.32  16000    1.0
EBV_Rv[29,0]    0.07  1.3e-4   0.02   0.04   0.06   0.07   0.08    0.1  16000    1.0
EBV_Rv[30,0]    0.13  1.2e-4   0.02    0.1   0.12   0.13   0.15   0.16  16000    1.0
EBV_Rv[31,0]    1.35  1.4e-4   0.02   1.32   1.34   1.35   1.36   1.39  16000    1.0
EBV_Rv[32,0]    0.02  9.4e-5   0.01-3.6e-3   0.01   0.02   0.03   0.04  16000    1.0
