      SN    st  e_st   zhelio     zcmb    Bmax e_Bmax    Vmax e_Vmax    umax e_umax    gmax e_gmax    rmax e_rmax    imax e_imax    Ymax e_Ymax    Jmax e_Jmax    Hmax e_Hmax EBVhost e_EBVhost    Rv  e_Rv  C(Rv)(EBVhost) ssource   cephV    cephH
SN2004dt 1.189 0.011 0.019717 0.018813  15.185  0.038  15.210  0.022  15.512  0.060  15.129  0.033  15.266  0.019  15.483  0.032 999.999  9.999 999.999  9.999 999.999  9.999 0.14900   0.02500 2.749 0.731        -0.00029     CSP       0        0
SN2004ef 0.816 0.003 0.030967 0.029770  16.863  0.004  16.733  0.003  17.533  0.008  16.785  0.004  16.750  0.004  17.292  0.005  17.058  0.085  17.071  0.118  17.065  0.074 0.16200   0.01600 1.835 0.504        -0.00383     CSP       0        0
SN2004eo 0.818 0.005 0.015690 0.014737  15.113  0.007  15.063  0.008  15.565  0.014  15.034  0.008  15.024  0.007  15.525  0.009  15.474  0.025  15.417  0.028  15.626  0.038 0.13000   0.02500 1.093 0.668        -0.00982     CSP       0        0
SN2004ey 1.010 0.003 0.015777 0.014627  14.777  0.002  14.820  0.002  15.126  0.004  14.750  0.002  14.914  0.003  15.535  0.004 999.999  9.999  15.476  0.008  15.809  0.021 0.02600   0.01800 1.310 1.269        -0.00745     CSP       0        0
SN2004gc 0.923 0.023 0.032078 0.030713  16.758  0.063  16.576  0.046 999.999  9.999  16.654  0.039  16.561  0.037  17.107  0.070 999.999  9.999 999.999  9.999 999.999  9.999 0.22600   0.05100 1.873 0.779        -0.00945     CSP       0        0
SN2004gs 0.689 0.004 0.026627 0.028277  17.164  0.005  16.969  0.005  17.875  0.012  17.035  0.005  16.951  0.005  17.356  0.008  17.203  0.062  16.995  0.082  17.277  0.064 0.19000   0.01400 1.928 0.416        -0.00272     CSP       0        0
SN2004gu 1.250 0.011 0.045827 0.046897  17.434  0.013  17.280  0.009  17.869  0.029  17.329  0.009  17.409  0.008  18.037  0.013  18.076  0.058  17.799  0.186  18.322  0.101 0.09700   0.03100 1.019 0.742        -0.00478     CSP       0        0
SN2005A  0.963 0.011 0.019127 0.018340  18.118  0.020  17.117  0.015 999.999  9.999  17.678  0.014  16.734  0.013  16.966  0.017  16.310  0.105  16.291  0.123  16.321  0.090 1.16500   0.02100 1.748 0.107        -0.00134     CSP       0        0
SN2005M  1.208 0.002 0.021997 0.025580  15.939  0.002  15.907  0.002  16.223  0.004  15.861  0.002  16.003  0.003  16.530  0.004  16.646  0.014  16.603  0.018  16.702  0.017 0.05500   0.02000 2.020 1.004        -0.00281     CSP       0        0
SN2005W  0.923 0.008 0.008883 0.007950  14.198  0.006  14.034  0.006  14.762  0.014  14.103  0.006  14.028  0.005  14.536  0.009 999.999  9.999 999.999  9.999 999.999  9.999 0.23200   0.01900 1.933 0.648        -0.00413     CSP       0        0
SN2005ag 1.190 0.007 0.079370 0.080080  18.423  0.005  18.443  0.005 999.999  9.999  18.392  0.005  18.565  0.005  19.178  0.009  19.311  0.079  19.174  0.110 999.999  9.999 0.03100   0.01800 1.630 1.310        -0.00237     CSP       0        0
SN2005al 0.858 0.003 0.012393 0.013287  14.881  0.005  14.936  0.005  15.352  0.009  14.864  0.005  15.027  0.005  15.645  0.007  15.523  0.059  15.408  0.078  15.631  0.044 0.00900   0.00900 1.647 1.339        -0.00187     CSP       0        0
