name H eH J eJ K eK V eV I P LogP V-i
HV872 11.540 0.024 11.976 0.025 11.422 0.023 13.690 0.060 12.710 29.85520 1.47501998487 0.98
HV873 11.109 0.027 11.490 0.030 10.998 0.024 13.060 0.030 12.160 34.34800 1.53590145423 0.9
HV875 11.285 0.012 11.620 0.015 11.192 0.011 12.960 0.030 12.170 30.35450 1.48222308356 0.79
HV876 11.766 0.031 12.144 0.032 11.665 0.030 13.530 0.060 12.700 22.70610 1.3561425462 0.83
HV878 11.735 0.028 12.097 0.030 11.634 0.028 13.522 0.000 12.863 23.29590 1.36727949338 0.659
HV879 11.157 0.026 11.590 0.030 11.031 0.025 13.640 0.060 12.520 36.78200 1.56563534006 1.12
HV881 11.142 0.030 11.527 0.034 11.032 0.028 13.090 0.030 12.190 35.76030 1.55340115352 0.9
HV882 11.328 0.028 11.714 0.027 11.202 0.027 13.350 0.030 12.440 31.81640 1.50265103802 0.91
HV883 9.919 0.045 10.302 0.046 9.752 0.047 12.000 0.070 10.910 133.89999 2.12678054458 1.09
HV885 11.621 0.012 12.078 0.017 11.498 0.013 13.600 0.020 12.720 20.70320 1.31603747758 0.88
HV887 12.324 0.018 12.685 0.022 12.242 0.018 14.114 0.000 13.251 14.48816 1.16101323346 0.863
HV889 11.624 0.024 12.031 0.027 11.513 0.024 13.670 0.030 12.710 25.80130 1.41164158847 0.96
HV891 12.114 0.028 12.485 0.028 12.032 0.029 13.780 0.030 12.980 17.19720 1.23545774205 0.8
HV892 12.345 0.027 12.714 0.028 12.256 0.030 14.310 0.030 13.460 15.98754 1.20378164407 0.85
HV893 11.876 0.027 12.291 0.029 11.769 0.027 14.050 0.130 12.990 21.11240 1.32453760553 1.06
HV899 11.359 0.031 11.763 0.031 11.251 0.027 13.260 0.060 12.430 31.02320 1.49168659266 0.83
HV901 12.222 0.024 12.645 0.024 12.120 0.025 14.381 0.000 13.312 18.46584 1.26636906823 1.069
HV902 11.469 0.030 11.833 0.031 11.378 0.027 13.250 0.110 12.360 26.35900 1.4209289301 0.89
HV904 11.395 0.035 11.802 0.037 11.285 0.032 13.480 0.030 12.470 30.39020 1.48273355821 1.01
HV909 10.984 0.025 11.339 0.030 10.884 0.026 13.030 0.110 12.100 37.57800 1.57493366208 0.93
HV911 12.503 0.022 12.885 0.022 12.399 0.022 14.300 0.040 13.480 13.91498 1.14348258646 0.82
HV914 13.296 0.014 13.627 0.022 13.222 0.014 14.926 0.060 14.154 6.87950 0.83755687499 0.772
HV932 12.481 0.018 12.831 0.021 12.387 0.020 14.186 0.000 13.388 13.28060 1.12321769633 0.798
HV955 12.342 0.019 12.686 0.026 12.251 0.018 14.02 0.000 13.240 13.73189 1.13773031583 0.78
HV971 12.857 0.014 13.210 0.019 12.777 0.014 14.480 0.060 13.730 9.29696 0.968340962419 0.75
HV997 12.575 0.018 12.972 0.021 12.454 0.016 14.580 0.060 13.640 13.14701 1.11882699327 0.94
HV1005 12.141 0.030 12.540 0.030 12.033 0.029 14.123 0.000 13.222 18.70976 1.27206821661 0.901
HV1006 12.375 0.023 12.768 0.026 12.268 0.023 14.360 0.070 13.440 14.21213 1.15265917138 0.92
HV1019 12.479 0.015 12.873 0.014 12.374 0.015 14.361 0.000 13.502 13.65943 1.13543257687 0.859
HV1023 11.618 0.028 12.041 0.029 11.498 0.027 13.77 0.000 12.75 26.53860 1.42387800864 1.02
HV2244 12.423 0.018 12.801 0.020 12.326 0.017 14.255 0.010 13.490 13.96991 1.14519360822 0.765
HV2257 10.944 0.031 11.355 0.035 10.833 0.029 13.05 0.000 12.08 39.29400 1.59432624081 0.97
HV2260 12.860 0.026 13.263 0.024 12.736 0.023 14.850 0.030 13.910 12.98721 1.11351586302 0.94
HV2262 12.235 0.022 12.642 0.023 12.125 0.021 14.290 0.060 13.330 15.84623 1.1999259552 0.96
HV2270 12.611 0.021 13.033 0.020 12.506 0.019 14.620 0.040 13.700 13.62491 1.13433364221 0.92
HV2279 13.215 0.015 13.544 0.021 13.144 0.014 14.760 0.050 14.070 6.89496 0.83853175103 0.69
HV2282 12.392 0.021 12.788 0.022 12.299 0.023 14.310 0.070 13.430 14.66551 1.16629717037 0.88
HV2291 11.908 0.029 12.345 0.028 11.789 0.029 14.000 0.030 13.050 22.32840 1.34885760368 0.95
HV2324 12.418 0.021 12.814 0.023 12.306 0.020 14.363 0.000 13.470 14.46577 1.16034155571 0.893
HV2337 13.445 0.016 13.772 0.021 13.351 0.016 15.050 0.030 14.291 6.86365 0.836555129307 0.759
HV2339 12.370 0.015 12.752 0.020 12.265 0.015 14.299 0.000 13.398 13.87952 1.14237444703 0.901
HV2352 12.450 0.015 12.802 0.019 12.352 0.014 14.210 0.030 13.380 13.62611 1.13437189056 0.83
HV2405 13.496 0.013 13.847 0.016 13.417 0.013 15.151 0.000 14.355 6.92374 0.840340750901 0.796
HV2432 12.653 0.014 12.986 0.017 12.568 0.013 14.240 0.090 13.500 10.92454 1.03840315917 0.74
HV2463 12.381 0.017 12.748 0.023 12.295 0.015 14.129 0.000 13.268 13.96516 1.14504591581 0.861
HV2527 12.684 0.021 13.084 0.022 12.570 0.020 14.620 0.200 13.730 12.94796 1.11220134907 0.89
HV2538 12.452 0.014 12.864 0.014 12.343 0.016 14.500 0.110 13.530 13.86894 1.14204326931 0.97
HV2549 12.078 0.020 12.422 0.022 11.982 0.019 13.670 0.070 12.930 16.19669 1.20942627 0.74
HV2579 12.334 0.016 12.688 0.023 12.236 0.014 14.040 0.060 13.240 13.43133 1.1281190196 0.8
HV2580 12.102 0.024 12.489 0.021 11.999 0.021 14.010 0.030 13.140 16.92260 1.22846708913 0.87
HV2733 13.053 0.009 13.405 0.011 12.977 0.008 14.680 0.070 13.960 8.72158 0.940595168777 0.72
HV2749 11.955 0.018 12.485 0.017 11.790 0.019 14.580 0.040 13.335 23.10520 1.36370973215 1.245
HV2793 11.954 0.023 12.399 0.024 11.830 0.022 14.089 0.000 13.047 19.18428 1.28294550445 1.042
HV2836 12.276 0.023 12.747 0.021 12.127 0.021 14.63 0.000 13.55 17.52783 1.24372815241 1.08
HV2854 12.979 0.010 13.330 0.013 12.897 0.010 14.650 0.070 13.870 8.63489 0.936256809454 0.78
HV5497 9.602 0.015 10.027 0.014 9.466 0.015 11.93 0.000 10.88 99.20000 1.99651167215 1.05
HV5541 14.668 0.035 14.945 0.050 14.607 0.061 15.970 0.070 15.350 2.68225 0.428499253963 0.62
HV5655 12.553 0.022 12.971 0.023 12.443 0.024 14.520 0.030 13.570 14.21136 1.15263564107 0.95
