    Name         P   logP     V     I     K   B-V   EBV   Av   AK      pi    e_pi     H             source   V-i 
  ellCar 35.551341 1.5509 3.732 2.557 1.071 1.299  0.17 0.52 0.06 0.00201  0.0002  1.21    Groenewegen1999 1.175 
 zetaGem  10.15073 1.0065 3.911 3.085 2.097 0.798 0.018 0.06 0.01 0.00278 0.00018  2.18     Riessetal.2011 0.826 
 betaDor  9.842425 0.9931 3.751 2.943 1.944 0.807 0.044 0.25 0.03 0.00314 0.00016 2.029    Groenewegen1999 0.808 
    WSgr  7.594904 0.8805 4.667 3.862 2.796 0.746 0.111 0.37 0.04 0.00228  0.0002  2.87     Riessetal.2011 0.805 
    XSgr  7.012877 0.8459 4.556 3.661 2.557 0.739 0.197 0.58 0.07   0.003 0.00018 2.633 Berdnikovetal.1996 0.895 
    YSgr   5.77338 0.7614 5.743 4.814 3.582 0.856 0.205 0.67 0.07 0.00213 0.00029 3.695    Groenewegen1999 0.929 
deltaCep   5.36627 0.7297  3.96 3.204  2.31 0.657 0.092 0.23 0.03 0.00366 0.00015 2.382    Groenewegen1999 0.756 
   FFAql  4.470916 0.6504 5.372  4.51 3.465 0.756 0.224 0.64 0.08 0.00281 0.00018 3.575    Groenewegen1999 0.862 
    TVul  4.435462 0.6469 5.752 5.052 4.187 0.635 0.064 0.34 0.02  0.0019 0.00023 4.261    Groenewegen1999   0.7 
   RTAur   3.72819 0.5715 5.464 4.778 3.925 0.595 0.051  0.2 0.02  0.0024 0.00019 3.961    Groenewegen1999 0.686 
