N1365 M101 N4639 N5917 N1015 N3370 N3447 N1448 U9391 N3982 N5584 N3972 N4536 N2442 N4424 N4038 N7250 N3021 N1309 
31.284224 29.146224 31.480905 32.239756 32.458152 32.044770 31.873778 31.268906 32.873254 31.705712 31.742935 31.597959 30.878633 31.549325 31.085219 31.264330 31.460086 32.471956 32.485632 
0.004288 0.001359 0.001577 0.001370 0.001709 0.001546 0.001505 0.001470 0.001421 0.001550 0.001529 0.001552 0.001492 0.001502 0.001383 0.001724 0.001428 0.001308 0.001578 
0.001359 0.002805 0.001955 0.000934 0.001593 0.001431 0.001235 0.001452 0.001315 0.001175 0.001565 0.002213 0.001455 0.001934 0.002212 0.002180 0.000954 0.001725 0.001621 
0.001577 0.001955 0.006606 0.001189 0.001902 0.001688 0.001514 0.001646 0.001407 0.001495 0.001689 0.001837 0.001616 0.001633 0.001312 0.002110 0.001292 0.001736 0.001746 
0.001370 0.000934 0.001189 0.012744 0.001462 0.001704 0.001585 0.001359 0.001585 0.001493 0.001475 0.001416 0.001504 0.001515 0.000854 0.001527 0.001663 0.001619 0.001750 
0.001709 0.001593 0.001902 0.001462 0.009313 0.001714 0.001598 0.001688 0.001490 0.001793 0.001724 0.001487 0.001678 0.001810 0.000931 0.001914 0.001554 0.001438 0.001753 
0.001546 0.001431 0.001688 0.001704 0.001714 0.003155 0.001516 0.001504 0.001457 0.001505 0.001617 0.001607 0.001501 0.001657 0.001776 0.001716 0.001447 0.001530 0.001705 
0.001505 0.001235 0.001514 0.001585 0.001598 0.001516 0.002407 0.001478 0.001570 0.001489 0.001570 0.001431 0.001481 0.001391 0.001459 0.001666 0.001533 0.001467 0.001561 
0.001470 0.001452 0.001646 0.001359 0.001688 0.001504 0.001478 0.002866 0.001479 0.001448 0.001528 0.001575 0.001501 0.001485 0.001573 0.001846 0.001364 0.001565 0.001569 
0.001421 0.001315 0.001407 0.001585 0.001490 0.001457 0.001570 0.001479 0.005321 0.001544 0.001707 0.001571 0.001543 0.001473 0.001559 0.002064 0.001734 0.001583 0.001595 
0.001550 0.001175 0.001495 0.001493 0.001793 0.001505 0.001489 0.001448 0.001544 0.006412 0.001510 0.001369 0.001455 0.001441 0.000592 0.001824 0.001673 0.001455 0.001521 
0.001529 0.001565 0.001689 0.001475 0.001724 0.001617 0.001570 0.001528 0.001707 0.001510 0.002921 0.001661 0.001636 0.001638 0.001522 0.002069 0.001614 0.001660 0.001663 
0.001552 0.002213 0.001837 0.001416 0.001487 0.001607 0.001431 0.001575 0.001571 0.001369 0.001661 0.006829 0.001504 0.002058 0.002346 0.001996 0.001308 0.001873 0.001918 
0.001492 0.001455 0.001616 0.001504 0.001678 0.001501 0.001481 0.001501 0.001543 0.001455 0.001636 0.001504 0.003743 0.001514 0.001267 0.001826 0.001574 0.001477 0.001523 
0.001502 0.001934 0.001633 0.001515 0.001810 0.001657 0.001391 0.001485 0.001473 0.001441 0.001638 0.002058 0.001514 0.004015 0.002259 0.001927 0.001577 0.001669 0.001805 
0.001383 0.002212 0.001312 0.000854 0.000931 0.001776 0.001459 0.001573 0.001559 0.000592 0.001522 0.002346 0.001267 0.002259 0.096915 0.002011 0.000823 0.001671 0.002246 
0.001724 0.002180 0.002110 0.001527 0.001914 0.001716 0.001666 0.001846 0.002064 0.001824 0.002069 0.001996 0.001826 0.001927 0.002011 0.016094 0.001793 0.001908 0.001779 
0.001428 0.000954 0.001292 0.001663 0.001554 0.001447 0.001533 0.001364 0.001734 0.001673 0.001614 0.001308 0.001574 0.001577 0.000823 0.001793 0.008751 0.001563 0.001361 
0.001308 0.001725 0.001736 0.001619 0.001438 0.001530 0.001467 0.001565 0.001583 0.001455 0.001660 0.001873 0.001477 0.001669 0.001671 0.001908 0.001563 0.010140 0.001540 
0.001578 0.001621 0.001746 0.001750 0.001753 0.001705 0.001561 0.001569 0.001595 0.001521 0.001663 0.001918 0.001523 0.001805 0.002246 0.001779 0.001361 0.001540 0.004160 
