#     name      zhel      zcmb f    st   +/-   Mmax   +/-    t0  EBVmw eEBVmw  covMs       Anon   Source
SN2004dt   0.0197167 0.0188133 B 1.189 0.010 14.929 0.038  14.7 0.0212 0.0021 -1.242e-04   Anon   CSP
SN2004dt   0.0197167 0.0188133 g 1.189 0.010 14.925 0.033  14.8 0.0212 0.0021 -1.346e-04   Anon   CSP
SN2004dt   0.0197167 0.0188133 i 1.189 0.010 15.471 0.029  17.6 0.0212 0.0021  2.738e-05   Anon   CSP
SN2004dt   0.0197167 0.0188133 r 1.189 0.010 15.188 0.017  12.2 0.0212 0.0021  2.355e-05   Anon   CSP
SN2004dt   0.0197167 0.0188133 u 1.189 0.010 15.181 0.065  16.2 0.0212 0.0021  1.277e-04   Anon   CSP
SN2004dt   0.0197167 0.0188133 V 1.189 0.010 15.068 0.022  13.5 0.0212 0.0021 -5.470e-05   Anon   CSP
SN2004ef   0.0309667 0.0297700 B 0.816 0.003 16.858 0.004  -9.0 0.0458 0.0046  3.882e-06   Anon   CSP
SN2004ef   0.0309667 0.0297700 g 0.816 0.003 16.783 0.004  -9.3 0.0458 0.0046  4.049e-06   Anon   CSP
SN2004ef   0.0309667 0.0297700 i 0.816 0.003 17.295 0.006  -6.2 0.0458 0.0046  2.180e-06   Anon   CSP
SN2004ef   0.0309667 0.0297700 H 0.816 0.003 17.078 0.075   8.9 0.0458 0.0046  7.967e-07   Anon   CSP
SN2004ef   0.0309667 0.0297700 J 0.816 0.003 17.083 0.120   8.6 0.0458 0.0046 -2.848e-06   Anon   CSP
SN2004ef   0.0309667 0.0297700 r 0.816 0.003 16.749 0.004 -10.2 0.0458 0.0046  2.397e-06   Anon   CSP
SN2004ef   0.0309667 0.0297700 u 0.816 0.003 17.554 0.008  -6.4 0.0458 0.0046  1.747e-06   Anon   CSP
SN2004ef   0.0309667 0.0297700 V 0.816 0.003 16.735 0.003 -10.3 0.0458 0.0046  1.599e-06   Anon   CSP
SN2004eo   0.0156900 0.0147367 B 0.824 0.005 15.115 0.007 -12.3 0.0930 0.0093  1.563e-05   Anon   CSP
SN2004eo   0.0156900 0.0147367 g 0.824 0.005 15.038 0.008 -12.6 0.0930 0.0093  1.691e-05   Anon   CSP
SN2004eo   0.0156900 0.0147367 i 0.824 0.005 15.525 0.009  -9.5 0.0930 0.0093  4.804e-06   Anon   CSP
SN2004eo   0.0156900 0.0147367 H 0.824 0.005 15.623 0.038  -5.3 0.0930 0.0093  2.081e-05   Anon   CSP
SN2004eo   0.0156900 0.0147367 J 0.824 0.005 15.430 0.028  -5.6 0.0930 0.0093  1.522e-05   Anon   CSP
SN2004eo   0.0156900 0.0147367 r 0.824 0.005 15.026 0.007 -13.6 0.0930 0.0093  7.279e-06   Anon   CSP
SN2004eo   0.0156900 0.0147367 u 0.824 0.005 15.576 0.014 -10.7 0.0930 0.0093  5.877e-06   Anon   CSP
SN2004eo   0.0156900 0.0147367 V 0.824 0.005 15.066 0.009 -13.6 0.0930 0.0093  9.405e-06   Anon   CSP
SN2004ey   0.0157767 0.0146267 B 1.010 0.003 14.777 0.002  -9.0 0.1197 0.0120  2.247e-06   Anon   CSP
SN2004ey   0.0157767 0.0146267 g 1.010 0.003 14.750 0.002  -9.1 0.1197 0.0120  1.683e-06   Anon   CSP
SN2004ey   0.0157767 0.0146267 i 1.010 0.003 15.535 0.004  -5.8 0.1197 0.0120  2.152e-06   Anon   CSP
SN2004ey   0.0157767 0.0146267 H 1.010 0.003 15.809 0.021   1.4 0.1197 0.0120  5.834e-06   Anon   CSP
SN2004ey   0.0157767 0.0146267 J 1.010 0.003 15.476 0.008   0.1 0.1197 0.0120  5.659e-07   Anon   CSP
SN2004ey   0.0157767 0.0146267 r 1.010 0.003 14.914 0.003 -10.7 0.1197 0.0120  2.830e-06   Anon   CSP
SN2004ey   0.0157767 0.0146267 u 1.010 0.003 15.126 0.004  -7.7 0.1197 0.0120  2.686e-06   Anon   CSP
SN2004ey   0.0157767 0.0146267 V 1.010 0.003 14.820 0.002 -10.1 0.1197 0.0120  2.705e-06   Anon   CSP
SN2004gc   0.0320777 0.0307133 i 0.923 0.023 17.107 0.070   7.7 0.1781 0.0178 -1.317e-05   Anon   CSP
SN2004gc   0.0320777 0.0307133 r 0.923 0.023 16.561 0.037   3.3 0.1781 0.0178 -3.573e-05   Anon   CSP
SN2004gc   0.0320777 0.0307133 B 0.923 0.023 16.758 0.063   4.8 0.1781 0.0178 -4.776e-05   Anon   CSP
SN2004gc   0.0320777 0.0307133 g 0.923 0.023 16.654 0.039   4.5 0.1781 0.0178 -3.929e-05   Anon   CSP
SN2004gc   0.0320777 0.0307133 V 0.923 0.023 16.576 0.046   3.4 0.1781 0.0178 -3.971e-05   Anon   CSP
SN2004gs   0.0266267 0.0282767 B 0.703 0.004 17.163 0.004  -3.9 0.0257 0.0026  4.508e-06   Anon   CSP
SN2004gs   0.0266267 0.0282767 g 0.703 0.004 17.039 0.005  -4.1 0.0257 0.0026  5.277e-06   Anon   CSP
SN2004gs   0.0266267 0.0282767 i 0.703 0.004 17.350 0.007  -1.7 0.0257 0.0026 -1.794e-06   Anon   CSP
SN2004gs   0.0266267 0.0282767 H 0.703 0.004 17.211 0.061   9.9 0.0257 0.0026 -3.094e-05   Anon   CSP
SN2004gs   0.0266267 0.0282767 J 0.703 0.004 17.015 0.080   9.0 0.0257 0.0026 -2.167e-05   Anon   CSP
SN2004gs   0.0266267 0.0282767 r 0.703 0.004 16.953 0.004  -5.3 0.0257 0.0026  1.956e-06   Anon   CSP
SN2004gs   0.0266267 0.0282767 u 0.703 0.004 17.899 0.011  -2.3 0.0257 0.0026  4.728e-06   Anon   CSP
SN2004gs   0.0266267 0.0282767 V 0.703 0.004 16.975 0.005  -5.1 0.0257 0.0026  4.688e-06   Anon   CSP
SN2004gu   0.0458267 0.0468967 B 1.248 0.011 17.437 0.014  -0.3 0.0223 0.0022 -6.644e-06   Anon   CSP
SN2004gu   0.0458267 0.0468967 g 1.248 0.011 17.329 0.010  -4.2 0.0223 0.0022 -6.585e-07   Anon   CSP
SN2004gu   0.0458267 0.0468967 i 1.248 0.011 18.024 0.014  -1.5 0.0223 0.0022  5.786e-06   Anon   CSP
SN2004gu   0.0458267 0.0468967 H 1.248 0.011 18.198 0.103  28.8 0.0223 0.0022  8.918e-06   Anon   CSP
SN2004gu   0.0458267 0.0468967 J 1.248 0.011 17.870 0.192  18.4 0.0223 0.0022 -1.854e-05   Anon   CSP
SN2004gu   0.0458267 0.0468967 r 1.248 0.011 17.408 0.008  -7.4 0.0223 0.0022  3.460e-05   Anon   CSP
SN2004gu   0.0458267 0.0468967 u 1.248 0.011 17.858 0.030   1.2 0.0223 0.0022 -3.681e-05   Anon   CSP
SN2004gu   0.0458267 0.0468967 V 1.248 0.011 17.279 0.009  -5.5 0.0223 0.0022  1.077e-05   Anon   CSP
SN2005A    0.0191267 0.0183400 B 0.964 0.012 18.200 0.020  -3.4 0.0259 0.0026  3.433e-05   Anon   CSP
SN2005A    0.0191267 0.0183400 g 0.964 0.012 17.688 0.015  -3.5 0.0259 0.0026  3.189e-05   Anon   CSP
SN2005A    0.0191267 0.0183400 i 0.964 0.012 16.969 0.018  -0.2 0.0259 0.0026  3.839e-05   Anon   CSP
SN2005A    0.0191267 0.0183400 H 0.964 0.012 16.333 0.091   9.8 0.0259 0.0026  1.386e-04   Anon   CSP
SN2005A    0.0191267 0.0183400 J 0.964 0.012 16.282 0.124   9.5 0.0259 0.0026 -6.470e-06   Anon   CSP
SN2005A    0.0191267 0.0183400 r 0.964 0.012 16.739 0.013  -4.9 0.0259 0.0026  5.391e-05   Anon   CSP
SN2005A    0.0191267 0.0183400 V 0.964 0.012 17.102 0.015  -4.6 0.0259 0.0026  5.477e-05   Anon   CSP
SN2005M    0.0219967 0.0255800 B 1.210 0.003 15.941 0.002  -8.4 0.0273 0.0027  2.125e-06   Anon   CSP
SN2005M    0.0219967 0.0255800 g 1.210 0.003 15.861 0.002  -9.3 0.0273 0.0027  2.281e-06   Anon   CSP
SN2005M    0.0219967 0.0255800 i 1.210 0.003 16.528 0.004  -5.5 0.0273 0.0027  1.480e-06   Anon   CSP
SN2005M    0.0219967 0.0255800 H 1.210 0.003 16.706 0.017  -3.2 0.0273 0.0027 -4.832e-07   Anon   CSP
