#     name      zhel      zcmb f    st   +/-   Mmax   +/-    t0  EBVmw eEBVmw  covMs      Host   Source
SN1981B    0.0060270 0.0071693 H 0.921 0.006 12.485 0.047  10.3 0.0157 0.0016  6.450e-05  N4536  T82+E81
SN1981B    0.0060270 0.0071693 J 0.921 0.006 12.357 0.105  10.0 0.0157 0.0016  2.353e-05  N4536  T82+E81
SN1981B    0.0060270 0.0071693 u 0.921 0.006 12.579 0.010  -0.1 0.0157 0.0016 -3.182e-06  N4536  T82+E81
SN1981B    0.0060270 0.0071693 V 0.921 0.006 11.886 0.007  -2.8 0.0157 0.0016  2.318e-05  N4536  T82+E81
SN1981B    0.0060270 0.0071693 B 0.921 0.006 11.962 0.006  -6.4 0.0157 0.0016  2.238e-05  N4536  T82+E81
SN1990N    0.0030000 0.0040676 B 1.122 0.009 12.745 0.007 -11.1 0.0223 0.0022  1.490e-05  N4639  L1991
SN1990N    0.0030000 0.0040676 i 1.122 0.009 13.295 0.010  -8.0 0.0223 0.0022  2.289e-05  N4639  L1991
SN1990N    0.0030000 0.0040676 V 1.122 0.009 12.677 0.007 -12.0 0.0223 0.0022  2.595e-05  N4639  L1991
SN1990N    0.0030000 0.0040676 u 1.122 0.009 13.080 0.014  -9.6 0.0223 0.0022 -7.686e-06  N4639  L1991
SN1990N    0.0030000 0.0040676 r 1.122 0.009 12.738 0.007 -13.2 0.0223 0.0022  3.809e-05  N4639  L1991
SN1994ae   0.0040000 0.0051205 B 1.046 0.007 13.140 0.006 -12.2 0.0262 0.0026  2.600e-05  NN3370 CfA
SN1994ae   0.0040000 0.0051205 i 1.046 0.007 13.691 0.009  -9.0 0.0262 0.0026  2.340e-05  NN3370 CfA
SN1994ae   0.0040000 0.0051205 V 1.046 0.007 13.073 0.008 -13.2 0.0262 0.0026  3.075e-05  NN3370 CfA
SN1994ae   0.0040000 0.0051205 r 1.046 0.007 13.019 0.007 -14.1 0.0262 0.0026  2.838e-05  NN3370 CfA
SN1995al   0.0050000 0.0058765 B 1.126 0.016 13.364 0.009  -4.0 0.0117 0.0012 -1.336e-05  N3021  CfA
SN1995al   0.0050000 0.0058765 i 1.126 0.016 13.855 0.009  -0.9 0.0117 0.0012  4.830e-05  N3021  CfA
